Week ending,Group,DHB of service,Dose number,# doses administered,Notes: 
2021-06-13,Group 3,Southern,2,736,
2021-06-13,Group 3,Tairawhiti,1,579,
2021-06-13,Group 3,Tairawhiti,2,131,
2021-06-13,Group 3,Taranaki,1,201,
2021-06-13,Group 3,Taranaki,2,133,
2021-06-13,Group 3,Waikato,1,1774,
2021-06-13,Group 3,Waikato,2,995,
2021-06-13,Group 3,Wairarapa,1,343,
2021-06-13,Group 3,Wairarapa,2,360,
2021-06-13,Group 3,West Coast,1,296,
2021-06-13,Group 3,West Coast,2,278,
2021-06-13,Group 3,Whanganui,1,1407,
2021-06-13,Group 3,Whanganui,2,389,
2021-06-13,Group 4,Auckland Metro,1,5503,
2021-06-13,Group 4,Auckland Metro,2,2718,
2021-06-13,Group 4,Bay of Plenty,1,141,
2021-06-13,Group 4,Bay of Plenty,2,92,
2021-06-13,Group 4,Canterbury,1,217,
2021-06-13,Group 4,Canterbury,2,114,
2021-06-13,Group 4,Capital & Coast and Hutt Valley,1,224,
2021-06-13,Group 4,Capital & Coast and Hutt Valley,2,85,
2021-06-13,Group 4,Hawke's Bay,1,617,
2021-06-13,Group 4,Hawke's Bay,2,291,
2021-06-13,Group 4,Lakes,1,206,
2021-06-13,Group 4,Lakes,2,42,
2021-06-13,Group 4,MidCentral,1,219,
2021-06-13,Group 4,MidCentral,2,73,
2021-06-13,Group 4,Nelson Marlborough,2,9,
2021-06-13,Group 4,Northland,1,834,
2021-06-13,Group 4,Northland,2,127,
2021-06-13,Group 4,Other Sites,1,9,
2021-06-13,Group 4,Other Sites,2,7,
2021-06-13,Group 4,South Canterbury,1,225,
2021-06-13,Group 4,South Canterbury,2,14,
2021-06-13,Group 4,Southern,1,117,
2021-06-13,Group 4,Southern,2,155,
2021-06-13,Group 4,Tairawhiti,1,33,
2021-06-13,Group 4,Tairawhiti,2,12,
2021-06-13,Group 4,Taranaki,1,91,
2021-06-13,Group 4,Taranaki,2,52,
2021-06-13,Group 4,Waikato,1,262,
2021-06-13,Group 4,Waikato,2,68,
2021-06-13,Group 4,Wairarapa,1,17,
2021-06-13,Group 4,Wairarapa,2,5,
2021-06-13,Group 4,West Coast,1,26,
2021-06-13,Group 4,West Coast,2,89,
2021-06-13,Group 4,Whanganui,1,15,
2021-06-13,Group 4,Whanganui,2,43,
2021-06-20,Group 1,Auckland Metro,1,236,
2021-06-20,Group 1,Auckland Metro,2,521,
2021-06-20,Group 1,Bay of Plenty,1,22,
2021-06-20,Group 1,Bay of Plenty,2,58,
2021-06-20,Group 1,Canterbury,1,363,
2021-06-20,Group 1,Canterbury,2,458,
2021-06-20,Group 1,Capital & Coast and Hutt Valley,1,99,
2021-06-20,Group 1,Capital & Coast and Hutt Valley,2,199,
2021-06-20,Group 1,Hawke's Bay,1,5,
2021-06-20,Group 1,Hawke's Bay,2,32,
2021-06-20,Group 1,Lakes,1,18,
2021-06-20,Group 1,Lakes,2,29,
2021-06-20,Group 1,MidCentral,1,15,
2021-06-20,Group 1,MidCentral,2,19,
2021-06-20,Group 1,Nelson Marlborough,1,12,
2021-06-20,Group 1,Nelson Marlborough,2,18,
2021-06-20,Group 1,Northland,2,13,
2021-06-20,Group 1,Other Sites,1,79,
2021-06-20,Group 1,Other Sites,2,15,
2021-06-20,Group 1,South Canterbury,1,6,
2021-06-20,Group 1,South Canterbury,2,6,
2021-06-20,Group 1,Southern,1,78,
2021-06-20,Group 1,Southern,2,88,
2021-06-20,Group 1,Tairawhiti,2,18,
2021-06-20,Group 1,Taranaki,2,10,
2021-06-20,Group 1,Waikato,1,25,
2021-06-20,Group 1,Waikato,2,35,
2021-06-20,Group 2,Auckland Metro,1,15459,
2021-06-20,Group 2,Auckland Metro,2,9470,
2021-06-20,Group 2,Bay of Plenty,1,816,
2021-06-20,Group 2,Bay of Plenty,2,702,
2021-06-20,Group 2,Canterbury,1,3932,
2021-06-20,Group 2,Canterbury,2,3567,
2021-06-20,Group 2,Capital & Coast and Hutt Valley,1,537,
2021-06-20,Group 2,Capital & Coast and Hutt Valley,2,788,
2021-06-20,Group 2,Hawke's Bay,1,410,
2021-06-20,Group 2,Hawke's Bay,2,291,
2021-06-20,Group 2,Lakes,1,190,
2021-06-20,Group 2,Lakes,2,522,
2021-06-20,Group 2,MidCentral,1,623,
2021-06-20,Group 2,MidCentral,2,1887,
2021-06-20,Group 2,Nelson Marlborough,1,356,
2021-06-20,Group 2,Nelson Marlborough,2,532,
2021-06-20,Group 2,Northland,1,1056,
2021-06-20,Group 2,Northland,2,505,
2021-06-20,Group 2,Other Sites,1,650,
2021-06-20,Group 2,Other Sites,2,1081,
2021-06-20,Group 2,South Canterbury,1,32,
2021-06-20,Group 2,South Canterbury,2,156,
2021-06-20,Group 2,Southern,1,1684,
2021-06-20,Group 2,Southern,2,1735,
2021-06-20,Group 2,Tairawhiti,1,320,
2021-06-20,Group 2,Tairawhiti,2,96,
2021-06-20,Group 2,Taranaki,1,779,
2021-06-20,Group 2,Taranaki,2,349,
2021-06-20,Group 2,Waikato,1,1672,
2021-06-20,Group 2,Waikato,2,2302,
2021-06-20,Group 2,Wairarapa,1,526,
2021-06-20,Group 2,Wairarapa,2,24,
2021-06-20,Group 2,West Coast,1,159,
2021-06-20,Group 2,West Coast,2,241,
2021-06-20,Group 2,Whanganui,1,116,
2021-06-20,Group 2,Whanganui,2,118,
2021-06-20,Group 3,Auckland Metro,1,9578,
2021-06-20,Group 3,Auckland Metro,2,4733,
2021-06-20,Group 3,Bay of Plenty,1,3107,
2021-06-20,Group 3,Bay of Plenty,2,2637,
2021-06-20,Group 3,Canterbury,1,546,
2021-06-20,Group 3,Canterbury,2,289,
2021-06-20,Group 3,Capital & Coast and Hutt Valley,1,2231,
2021-06-20,Group 3,Capital & Coast and Hutt Valley,2,1538,
2021-06-20,Group 3,Hawke's Bay,1,1522,
2021-06-20,Group 3,Hawke's Bay,2,1416,
2021-06-20,Group 3,Lakes,1,1521,
2021-06-20,Group 3,Lakes,2,1235,
2021-06-20,Group 3,MidCentral,1,3411,
2021-06-20,Group 3,MidCentral,2,703,
2021-06-20,Group 3,Nelson Marlborough,1,1754,
2021-06-20,Group 3,Nelson Marlborough,2,2223,
2021-06-20,Group 3,Northland,1,1604,
2021-06-20,Group 3,Northland,2,640,
2021-06-20,Group 3,Other Sites,1,76,
2021-06-20,Group 3,Other Sites,2,18,
2021-06-20,Group 3,South Canterbury,1,1429,
2021-06-20,Group 3,South Canterbury,2,89,
2021-06-20,Group 3,Southern,1,3745,
2021-06-20,Group 3,Southern,2,2357,
2021-06-20,Group 3,Tairawhiti,1,727,
2021-06-20,Group 3,Tairawhiti,2,390,
2021-06-20,Group 3,Taranaki,1,253,
2021-06-20,Group 3,Taranaki,2,236,
2021-06-20,Group 3,Waikato,1,1386,
2021-06-20,Group 3,Waikato,2,1255,
2021-06-20,Group 3,Wairarapa,1,501,
2021-06-20,Group 3,Wairarapa,2,297,
2021-06-20,Group 3,West Coast,1,470,
2021-06-20,Group 3,West Coast,2,585,
2021-06-20,Group 3,Whanganui,1,904,
2021-06-20,Group 3,Whanganui,2,656,
2021-06-20,Group 4,Auckland Metro,1,5214,
2021-06-20,Group 4,Auckland Metro,2,4565,
2021-06-20,Group 4,Bay of Plenty,1,51,
2021-06-20,Group 4,Bay of Plenty,2,121,
2021-06-20,Group 4,Canterbury,1,143,
2021-06-20,Group 4,Canterbury,2,125,
2021-06-20,Group 4,Capital & Coast and Hutt Valley,1,408,
2021-06-20,Group 4,Capital & Coast and Hutt Valley,2,207,
2021-06-20,Group 4,Hawke's Bay,1,377,
2021-06-20,Group 4,Hawke's Bay,2,716,
2021-06-20,Group 4,Lakes,1,61,
2021-06-20,Group 4,Lakes,2,221,
2021-06-20,Group 4,MidCentral,1,344,
2021-06-20,Group 4,MidCentral,2,149,
2021-06-20,Group 4,Nelson Marlborough,2,29,
2021-06-20,Group 4,Northland,1,579,
2021-06-20,Group 4,Northland,2,376,
2021-06-20,Group 4,Other Sites,1,377,
2021-06-20,Group 4,Other Sites,2,68,
2021-06-20,Group 4,South Canterbury,1,154,
2021-06-20,Group 4,South Canterbury,2,50,
2021-06-20,Group 4,Southern,1,121,
2021-06-20,Group 4,Southern,2,161,
2021-06-20,Group 4,Tairawhiti,1,77,
2021-06-20,Group 4,Tairawhiti,2,205,
2021-06-20,Group 4,Taranaki,1,146,
2021-06-20,Group 4,Taranaki,2,59,
2021-06-20,Group 4,Waikato,1,279,
2021-06-20,Group 4,Waikato,2,304,
2021-06-20,Group 4,Wairarapa,1,41,
2021-06-20,Group 4,Wairarapa,2,10,
2021-06-20,Group 4,West Coast,1,78,
2021-06-20,Group 4,West Coast,2,40,
2021-06-20,Group 4,Whanganui,1,7,
2021-06-20,Group 4,Whanganui,2,81,
2021-06-27,Group 1,Auckland Metro,1,292,
2021-06-27,Group 1,Auckland Metro,2,497,
2021-06-27,Group 1,Bay of Plenty,1,27,
2021-06-27,Group 1,Bay of Plenty,2,39,
2021-06-27,Group 1,Canterbury,1,365,
2021-06-27,Group 1,Canterbury,2,425,
2021-06-27,Group 1,Capital & Coast and Hutt Valley,1,60,
2021-06-27,Group 1,Capital & Coast and Hutt Valley,2,111,
2021-06-27,Group 1,Hawke's Bay,1,9,
2021-06-27,Group 1,Hawke's Bay,2,12,
2021-06-27,Group 1,Lakes,1,24,
2021-06-27,Group 1,Lakes,2,28,
2021-06-27,Group 1,MidCentral,2,38,
2021-06-27,Group 1,Nelson Marlborough,1,10,
2021-06-27,Group 1,Nelson Marlborough,2,17,
2021-06-27,Group 1,Northland,2,5,
2021-06-27,Group 1,Other Sites,1,8,
2021-06-27,Group 1,Other Sites,2,65,
2021-06-27,Group 1,Southern,1,35,
2021-06-27,Group 1,Southern,2,90,
2021-06-27,Group 1,Tairawhiti,2,5,
2021-06-27,Group 1,Taranaki,1,5,
2021-06-27,Group 1,Taranaki,2,25,
2021-06-27,Group 1,Waikato,1,34,
2021-06-27,Group 1,Waikato,2,27,
2021-06-27,Group 2,Auckland Metro,1,14483,
2021-06-27,Group 2,Auckland Metro,2,10195,
2021-06-27,Group 2,Bay of Plenty,1,624,
2021-06-27,Group 2,Bay of Plenty,2,1319,
2021-06-27,Group 2,Canterbury,1,3212,
2021-06-27,Group 2,Canterbury,2,3218,
2021-06-27,Group 2,Capital & Coast and Hutt Valley,1,342,
2021-06-27,Group 2,Capital & Coast and Hutt Valley,2,590,
2021-06-27,Group 2,Hawke's Bay,1,87,
2021-06-27,Group 2,Hawke's Bay,2,103,
2021-06-27,Group 2,Lakes,1,221,
2021-06-27,Group 2,Lakes,2,848,
2021-06-27,Group 2,MidCentral,1,368,
2021-06-27,Group 2,MidCentral,2,762,
2021-06-27,Group 2,Nelson Marlborough,1,372,
2021-06-27,Group 2,Nelson Marlborough,2,189,
2021-06-27,Group 2,Northland,1,730,
2021-06-27,Group 2,Northland,2,335,
2021-06-27,Group 2,Other Sites,1,769,
2021-06-27,Group 2,Other Sites,2,782,
2021-06-27,Group 2,South Canterbury,1,29,
2021-06-27,Group 2,South Canterbury,2,39,
2021-06-27,Group 2,Southern,1,1409,
2021-06-27,Group 2,Southern,2,1359,
2021-06-27,Group 2,Tairawhiti,1,45,
2021-06-27,Group 2,Tairawhiti,2,62,
2021-06-27,Group 2,Taranaki,1,720,
2021-06-27,Group 2,Taranaki,2,305,
2021-06-27,Group 2,Waikato,1,1822,
2021-06-27,Group 2,Waikato,2,1644,
2021-06-27,Group 2,Wairarapa,1,770,
2021-06-27,Group 2,Wairarapa,2,37,
2021-06-27,Group 2,West Coast,1,44,
2021-06-27,Group 2,West Coast,2,107,
2021-06-27,Group 2,Whanganui,1,34,
2021-06-27,Group 2,Whanganui,2,180,
2021-06-27,Group 3,Auckland Metro,1,9641,
2021-06-27,Group 3,Auckland Metro,2,7514,
2021-06-27,Group 3,Bay of Plenty,1,2245,
2021-06-27,Group 3,Bay of Plenty,2,3238,
2021-06-27,Group 3,Canterbury,1,2088,
2021-06-27,Group 3,Canterbury,2,524,
2021-06-27,Group 3,Capital & Coast and Hutt Valley,1,2039,
2021-06-27,Group 3,Capital & Coast and Hutt Valley,2,1692,
2021-06-27,Group 3,Hawke's Bay,1,482,
2021-06-27,Group 3,Hawke's Bay,2,2651,
2021-06-27,Group 3,Lakes,1,1205,
2021-06-27,Group 3,Lakes,2,1646,
2021-06-27,Group 3,MidCentral,1,3888,
2021-06-27,Group 3,MidCentral,2,1400,
2021-06-27,Group 3,Nelson Marlborough,1,2136,
2021-06-27,Group 3,Nelson Marlborough,2,1378,
2021-06-27,Group 3,Northland,1,1298,
2021-06-27,Group 3,Northland,2,1345,
2021-06-27,Group 3,Other Sites,1,29,
2021-06-27,Group 3,Other Sites,2,9,
2021-06-27,Group 3,South Canterbury,1,133,
2021-06-27,Group 3,South Canterbury,2,2062,
2021-06-27,Group 3,Southern,1,2177,
2021-06-27,Group 3,Southern,2,4563,
2021-06-27,Group 3,Tairawhiti,1,504,
2021-06-27,Group 3,Tairawhiti,2,487,
2021-06-27,Group 3,Taranaki,1,407,
2021-06-27,Group 3,Taranaki,2,261,
2021-06-27,Group 3,Waikato,1,1409,
2021-06-27,Group 3,Waikato,2,2004,
2021-06-27,Group 3,Wairarapa,1,495,
2021-06-27,Group 3,Wairarapa,2,501,
2021-06-27,Group 3,West Coast,1,538,
2021-06-27,Group 3,West Coast,2,599,
2021-06-27,Group 3,Whanganui,1,251,
2021-06-27,Group 3,Whanganui,2,1453,
2021-06-27,Group 4,Auckland Metro,1,6493,
2021-06-27,Group 4,Auckland Metro,2,5691,
2021-06-27,Group 4,Bay of Plenty,1,93,
2021-06-27,Group 4,Bay of Plenty,2,162,
2021-06-27,Group 4,Canterbury,1,348,
2021-06-27,Group 4,Canterbury,2,236,
2021-06-27,Group 4,Capital & Coast and Hutt Valley,1,294,
2021-06-27,Group 4,Capital & Coast and Hutt Valley,2,139,
2021-06-27,Group 4,Hawke's Bay,1,122,
2021-06-27,Group 4,Hawke's Bay,2,766,
2021-06-27,Group 4,Lakes,1,360,
2021-06-27,Group 4,Lakes,2,156,
2021-06-27,Group 4,MidCentral,1,314,
2021-06-27,Group 4,MidCentral,2,249,
2021-06-27,Group 4,Nelson Marlborough,2,64,
2021-06-27,Group 4,Northland,1,464,
2021-06-27,Group 4,Northland,2,532,
2021-06-27,Group 4,Other Sites,1,281,
2021-06-27,Group 4,Other Sites,2,30,
2021-06-27,Group 4,South Canterbury,1,10,
2021-06-27,Group 4,South Canterbury,2,86,
2021-06-27,Group 4,Southern,1,49,
2021-06-27,Group 4,Southern,2,250,
2021-06-27,Group 4,Tairawhiti,1,21,
2021-06-27,Group 4,Tairawhiti,2,124,
2021-06-27,Group 4,Taranaki,1,90,
2021-06-27,Group 4,Taranaki,2,24,
2021-06-27,Group 4,Waikato,1,98,
2021-06-27,Group 4,Waikato,2,473,
2021-06-27,Group 4,Wairarapa,1,54,
2021-06-27,Group 4,Wairarapa,2,14,
2021-06-27,Group 4,West Coast,1,20,
2021-06-27,Group 4,West Coast,2,92,
2021-06-27,Group 4,Whanganui,1,8,
2021-06-27,Group 4,Whanganui,2,63,
2021-07-04,Group 1,Auckland Metro,1,212,
2021-07-04,Group 1,Auckland Metro,2,351,
2021-07-04,Group 1,Bay of Plenty,1,27,
2021-07-04,Group 1,Bay of Plenty,2,24,
2021-07-04,Group 1,Canterbury,1,123,
2021-07-04,Group 1,Canterbury,2,180,
2021-07-04,Group 1,Capital & Coast and Hutt Valley,1,78,
2021-07-04,Group 1,Capital & Coast and Hutt Valley,2,81,
2021-07-04,Group 1,Hawke's Bay,1,8,
2021-07-04,Group 1,Hawke's Bay,2,7,
2021-07-04,Group 1,Lakes,1,5,
2021-07-04,Group 1,Lakes,2,39,
2021-07-04,Group 1,MidCentral,1,8,
2021-07-04,Group 1,MidCentral,2,15,
2021-07-04,Group 1,Nelson Marlborough,1,10,
2021-07-04,Group 1,Nelson Marlborough,2,12,
2021-07-04,Group 1,Northland,2,10,
2021-07-04,Group 1,Other Sites,1,23,
2021-07-04,Group 1,Other Sites,2,137,
2021-07-04,Group 1,Southern,1,36,
2021-07-04,Group 1,Southern,2,70,
2021-07-04,Group 1,Taranaki,2,5,
2021-07-04,Group 1,Waikato,1,40,
2021-07-04,Group 1,Waikato,2,23,
2021-07-04,Group 2,Auckland Metro,1,11330,
2021-07-04,Group 2,Auckland Metro,2,9266,
2021-07-04,Group 2,Bay of Plenty,1,458,
2021-07-04,Group 2,Bay of Plenty,2,530,
2021-07-04,Group 2,Canterbury,1,2102,
2021-07-04,Group 2,Canterbury,2,2693,
2021-07-04,Group 2,Capital & Coast and Hutt Valley,1,334,
2021-07-04,Group 2,Capital & Coast and Hutt Valley,2,434,
2021-07-04,Group 2,Hawke's Bay,1,157,
2021-07-04,Group 2,Hawke's Bay,2,84,
2021-07-04,Group 2,Lakes,1,169,
2021-07-04,Group 2,Lakes,2,868,
2021-07-04,Group 2,MidCentral,1,694,
2021-07-04,Group 2,MidCentral,2,491,
2021-07-04,Group 2,Nelson Marlborough,1,196,
2021-07-04,Group 2,Nelson Marlborough,2,365,
2021-07-04,Group 2,Northland,1,556,
2021-07-04,Group 2,Northland,2,259,
2021-07-04,Group 2,Other Sites,1,862,
2021-07-04,Group 2,Other Sites,2,914,
2021-07-04,Group 2,South Canterbury,1,16,
2021-07-04,Group 2,South Canterbury,2,40,
2021-07-04,Group 2,Southern,1,1564,
2021-07-04,Group 2,Southern,2,1095,
2021-07-04,Group 2,Tairawhiti,1,307,
2021-07-04,Group 2,Tairawhiti,2,74,
2021-07-04,Group 2,Taranaki,1,292,
2021-07-04,Group 2,Taranaki,2,397,
2021-07-04,Group 2,Waikato,1,2501,
2021-07-04,Group 2,Waikato,2,1327,
2021-07-04,Group 2,Wairarapa,1,151,
2021-07-04,Group 2,Wairarapa,2,78,
2021-07-04,Group 2,West Coast,1,64,
2021-07-04,Group 2,West Coast,2,78,
2021-07-04,Group 2,Whanganui,1,11,
2021-07-04,Group 2,Whanganui,2,68,
2021-07-04,Group 3,Auckland Metro,1,9871,
2021-07-04,Group 3,Auckland Metro,2,6790,
2021-07-04,Group 3,Bay of Plenty,1,2515,
2021-07-04,Group 3,Bay of Plenty,2,2306,
2021-07-04,Group 3,Canterbury,1,2953,
2021-07-04,Group 3,Canterbury,2,529,
2021-07-04,Group 3,Capital & Coast and Hutt Valley,1,2242,
2021-07-04,Group 3,Capital & Coast and Hutt Valley,2,1532,
2021-07-04,Group 3,Hawke's Bay,1,687,
2021-07-04,Group 3,Hawke's Bay,2,2082,
2021-07-04,Group 3,Lakes,1,786,
2021-07-04,Group 3,Lakes,2,1301,
2021-07-04,Group 3,MidCentral,1,3804,
2021-07-04,Group 3,MidCentral,2,1225,
2021-07-04,Group 3,Nelson Marlborough,1,1534,
2021-07-04,Group 3,Nelson Marlborough,2,2462,
2021-07-04,Group 3,Northland,1,1413,
2021-07-04,Group 3,Northland,2,1081,
2021-07-04,Group 3,Other Sites,1,81,
2021-07-04,Group 3,Other Sites,2,20,
2021-07-04,Group 3,South Canterbury,1,255,
2021-07-04,Group 3,South Canterbury,2,1239,
2021-07-04,Group 3,Southern,1,2803,
2021-07-04,Group 3,Southern,2,2405,
2021-07-04,Group 3,Tairawhiti,1,490,
2021-07-04,Group 3,Tairawhiti,2,563,
2021-07-04,Group 3,Taranaki,1,1016,
2021-07-04,Group 3,Taranaki,2,180,
2021-07-04,Group 3,Waikato,1,2023,
2021-07-04,Group 3,Waikato,2,1476,
2021-07-04,Group 3,Wairarapa,1,1107,
2021-07-04,Group 3,Wairarapa,2,275,
2021-07-04,Group 3,West Coast,1,707,
2021-07-04,Group 3,West Coast,2,328,
2021-07-04,Group 3,Whanganui,1,156,
2021-07-04,Group 3,Whanganui,2,1280,
2021-07-04,Group 4,Auckland Metro,1,6475,
2021-07-04,Group 4,Auckland Metro,2,5107,
2021-07-04,Group 4,Bay of Plenty,1,107,
2021-07-04,Group 4,Bay of Plenty,2,116,
2021-07-04,Group 4,Canterbury,1,878,
2021-07-04,Group 4,Canterbury,2,230,
2021-07-04,Group 4,Capital & Coast and Hutt Valley,1,381,
2021-07-04,Group 4,Capital & Coast and Hutt Valley,2,223,
2021-07-04,Group 4,Hawke's Bay,1,463,
2021-07-04,Group 4,Hawke's Bay,2,436,
2021-07-04,Group 4,Lakes,1,570,
2021-07-04,Group 4,Lakes,2,104,
2021-07-04,Group 4,MidCentral,1,462,
2021-07-04,Group 4,MidCentral,2,184,
2021-07-04,Group 4,Nelson Marlborough,1,16,
2021-07-04,Group 4,Nelson Marlborough,2,6,
2021-07-04,Group 4,Northland,1,432,
2021-07-04,Group 4,Northland,2,331,
2021-07-04,Group 4,Other Sites,1,380,
2021-07-04,Group 4,Other Sites,2,36,
2021-07-04,Group 4,South Canterbury,1,8,
2021-07-04,Group 4,South Canterbury,2,212,
2021-07-04,Group 4,Southern,1,121,
2021-07-04,Group 4,Southern,2,166,
2021-07-04,Group 4,Tairawhiti,1,27,
2021-07-04,Group 4,Tairawhiti,2,31,
2021-07-04,Group 4,Taranaki,1,66,
2021-07-04,Group 4,Taranaki,2,53,
2021-07-04,Group 4,Waikato,1,237,
2021-07-04,Group 4,Waikato,2,300,
2021-07-04,Group 4,Wairarapa,1,94,
2021-07-04,Group 4,Wairarapa,2,15,
2021-07-04,Group 4,West Coast,1,81,
2021-07-04,Group 4,West Coast,2,37,
2021-07-04,Group 4,Whanganui,2,29,
2021-07-11,Group 1,Auckland Metro,1,224,
2021-07-11,Group 1,Auckland Metro,2,294,
2021-07-11,Group 1,Bay of Plenty,1,10,
2021-07-11,Group 1,Bay of Plenty,2,25,
2021-07-11,Group 1,Canterbury,1,179,
2021-07-11,Group 1,Canterbury,2,317,
2021-07-11,Group 1,Capital & Coast and Hutt Valley,1,96,
2021-07-11,Group 1,Capital & Coast and Hutt Valley,2,98,
2021-07-11,Group 1,Hawke's Bay,2,10,
2021-07-11,Group 1,Lakes,1,15,
2021-07-11,Group 1,Lakes,2,79,
2021-07-11,Group 1,MidCentral,2,15,
2021-07-11,Group 1,Nelson Marlborough,1,10,
2021-07-11,Group 1,Nelson Marlborough,2,17,
2021-07-11,Group 1,Northland,2,7,
2021-07-11,Group 1,Other Sites,1,7,
2021-07-11,Group 1,Other Sites,2,89,
2021-07-11,Group 1,South Canterbury,1,10,
2021-07-11,Group 1,Southern,1,13,
2021-07-11,Group 1,Southern,2,67,
2021-07-11,Group 1,Waikato,1,21,
2021-07-11,Group 1,Waikato,2,29,
2021-07-11,Group 2,Auckland Metro,1,9225,
2021-07-11,Group 2,Auckland Metro,2,11925,
2021-07-11,Group 2,Bay of Plenty,1,398,
2021-07-11,Group 2,Bay of Plenty,2,595,
2021-07-11,Group 2,Canterbury,1,682,
2021-07-11,Group 2,Canterbury,2,3210,
2021-07-11,Group 2,Capital & Coast and Hutt Valley,1,381,
2021-07-11,Group 2,Capital & Coast and Hutt Valley,2,539,
2021-07-11,Group 2,Hawke's Bay,1,103,
2021-07-11,Group 2,Hawke's Bay,2,340,
2021-07-11,Group 2,Lakes,1,114,
2021-07-11,Group 2,Lakes,2,307,
2021-07-11,Group 2,MidCentral,1,440,
2021-07-11,Group 2,MidCentral,2,662,
2021-07-11,Group 2,Nelson Marlborough,1,148,
2021-07-11,Group 2,Nelson Marlborough,2,214,
2021-07-11,Group 2,Northland,1,364,
2021-07-11,Group 2,Northland,2,782,
2021-07-11,Group 2,Other Sites,1,875,
2021-07-11,Group 2,Other Sites,2,1008,
2021-07-11,Group 2,South Canterbury,1,30,
2021-07-11,Group 2,South Canterbury,2,48,
2021-07-11,Group 2,Southern,1,1023,
2021-07-11,Group 2,Southern,2,1129,
2021-07-11,Group 2,Tairawhiti,1,35,
2021-07-11,Group 2,Tairawhiti,2,332,
2021-07-11,Group 2,Taranaki,1,121,
2021-07-11,Group 2,Taranaki,2,736,
2021-07-11,Group 2,Waikato,1,1500,
2021-07-11,Group 2,Waikato,2,1914,
2021-07-11,Group 2,Wairarapa,1,82,
2021-07-11,Group 2,Wairarapa,2,460,
2021-07-11,Group 2,West Coast,1,103,
2021-07-11,Group 2,West Coast,2,131,
2021-07-11,Group 2,Whanganui,1,30,
2021-07-11,Group 2,Whanganui,2,34,
2021-07-11,Group 3,Auckland Metro,1,10615,
2021-07-11,Group 3,Auckland Metro,2,6564,
2021-07-11,Group 3,Bay of Plenty,1,2137,
2021-07-11,Group 3,Bay of Plenty,2,2808,
2021-07-11,Group 3,Canterbury,1,4825,
2021-07-11,Group 3,Canterbury,2,613,
2021-07-11,Group 3,Capital & Coast and Hutt Valley,1,3109,
2021-07-11,Group 3,Capital & Coast and Hutt Valley,2,1830,
2021-07-11,Group 3,Hawke's Bay,1,728,
2021-07-11,Group 3,Hawke's Bay,2,1165,
2021-07-11,Group 3,Lakes,1,929,
2021-07-11,Group 3,Lakes,2,1702,
2021-07-11,Group 3,MidCentral,1,3116,
2021-07-11,Group 3,MidCentral,2,3243,
2021-07-11,Group 3,Nelson Marlborough,1,2451,
2021-07-11,Group 3,Nelson Marlborough,2,1845,
2021-07-11,Group 3,Northland,1,1049,
2021-07-11,Group 3,Northland,2,1651,
2021-07-11,Group 3,Other Sites,1,29,
2021-07-11,Group 3,Other Sites,2,67,
2021-07-11,Group 3,South Canterbury,1,281,
2021-07-11,Group 3,South Canterbury,2,1315,
2021-07-11,Group 3,Southern,1,2073,
2021-07-11,Group 3,Southern,2,3653,
2021-07-11,Group 3,Tairawhiti,1,417,
2021-07-11,Group 3,Tairawhiti,2,646,
2021-07-11,Group 3,Taranaki,1,720,
2021-07-11,Group 3,Taranaki,2,192,
2021-07-11,Group 3,Waikato,1,2076,
2021-07-11,Group 3,Waikato,2,1525,
2021-07-11,Group 3,Wairarapa,1,1345,
2021-07-11,Group 3,Wairarapa,2,595,
2021-07-11,Group 3,West Coast,1,450,
2021-07-11,Group 3,West Coast,2,404,
2021-07-11,Group 3,Whanganui,1,443,
2021-07-11,Group 3,Whanganui,2,253,
2021-07-11,Group 4,Auckland Metro,1,7943,
2021-07-11,Group 4,Auckland Metro,2,4779,
2021-07-11,Group 4,Bay of Plenty,1,122,
2021-07-11,Group 4,Bay of Plenty,2,82,
2021-07-11,Group 4,Canterbury,1,838,
2021-07-11,Group 4,Canterbury,2,137,
2021-07-11,Group 4,Capital & Coast and Hutt Valley,1,500,
2021-07-11,Group 4,Capital & Coast and Hutt Valley,2,314,
2021-07-11,Group 4,Hawke's Bay,1,371,
2021-07-11,Group 4,Hawke's Bay,2,250,
2021-07-11,Group 4,Lakes,1,359,
2021-07-11,Group 4,Lakes,2,144,
2021-07-11,Group 4,MidCentral,1,365,
2021-07-11,Group 4,MidCentral,2,336,
2021-07-11,Group 4,Nelson Marlborough,1,302,
2021-07-11,Group 4,Nelson Marlborough,2,10,
2021-07-11,Group 4,Northland,1,487,
2021-07-11,Group 4,Northland,2,648,
2021-07-11,Group 4,Other Sites,1,111,
2021-07-11,Group 4,Other Sites,2,263,
2021-07-11,Group 4,South Canterbury,1,8,
2021-07-11,Group 4,South Canterbury,2,144,
2021-07-11,Group 4,Southern,1,560,
2021-07-11,Group 4,Southern,2,108,
2021-07-11,Group 4,Tairawhiti,1,41,
2021-07-11,Group 4,Tairawhiti,2,56,
2021-07-11,Group 4,Taranaki,1,121,
2021-07-11,Group 4,Taranaki,2,119,
2021-07-11,Group 4,Waikato,1,262,
2021-07-11,Group 4,Waikato,2,214,
2021-07-11,Group 4,Wairarapa,1,260,
2021-07-11,Group 4,Wairarapa,2,45,
2021-07-11,Group 4,West Coast,1,276,
2021-07-11,Group 4,West Coast,2,73,
2021-07-11,Group 4,Whanganui,1,185,
