Ethnic group,Age group,Gender,DHB of residence,Population,Notes: 
Unknown,40-44,Male,Northland,20,
Unknown,5-11,Female,Waikato,20,
Unknown,5-11,Male,Waikato,20,
Unknown,60-64,Female,Lakes,20,
Unknown,60-64,Male,Northland,20,
Unknown,65-69,Female,Hawkes Bay,20,
Unknown,65-69,Male,Hutt Valley,20,
Unknown,80-84,Female,Counties Manukau,20,
Unknown,85-89,Female,Waitemata,20,
Unknown,90+,Male,Waikato,20,
Asian,5-11,Unknown/Other,Waitemata,21,
Asian,75-79,Female,Overseas / Unknown,21,
Asian,75-79,Male,Lakes,21,
Maori,70-74,Female,Overseas / Unknown,21,
Pacific Peoples,18-24,Male,Whanganui,21,
Pacific Peoples,45-49,Female,Overseas / Unknown,21,
Pacific Peoples,65-69,Female,Nelson Marlborough,21,
Pacific Peoples,65-69,Male,Whanganui,21,
Pacific Peoples,70-74,Female,Nelson Marlborough,21,
Pacific Peoples,80-84,Female,Hawkes Bay,21,
Unknown,0-4,Male,MidCentral,21,
Unknown,0-4,Male,Waikato,21,
Unknown,12-17,Male,Auckland,21,
Unknown,18-24,Male,Southern,21,
Unknown,45-49,Male,Bay of Plenty,21,
Unknown,5-11,Male,Auckland,21,
Unknown,50-54,Male,Nelson Marlborough,21,
Unknown,60-64,Female,MidCentral,21,
Unknown,70-74,Female,Overseas / Unknown,21,
Unknown,80-84,Female,Canterbury,21,
Asian,18-24,Male,Whanganui,22,
Asian,18-24,Male,West Coast,22,
European or Other,12-17,Unknown/Other,Capital and Coast,22,
European or Other,30-34,Unknown/Other,Auckland,22,
European or Other,30-34,Unknown/Other,Capital and Coast,22,
Maori,70-74,Male,Overseas / Unknown,22,
Maori,80-84,Male,Wairarapa,22,
Maori,85-89,Male,Whanganui,22,
Maori,90+,Female,Auckland,22,
Maori,90+,Female,Southern,22,
Pacific Peoples,12-17,Male,West Coast,22,
Pacific Peoples,18-24,Female,Wairarapa,22,
Pacific Peoples,60-64,Male,Taranaki,22,
Pacific Peoples,65-69,Female,Taranaki,22,
Pacific Peoples,70-74,Female,Lakes,22,
Unknown,0-4,Male,Capital and Coast,22,
Unknown,12-17,Male,Canterbury,22,
Unknown,25-29,Female,MidCentral,22,
Unknown,30-34,Female,Taranaki,22,
Unknown,50-54,Female,Southern,22,
Unknown,70-74,Male,Hawkes Bay,22,
Unknown,80-84,Female,Auckland,22,
Asian,18-24,Female,Overseas / Unknown,23,
Asian,60-64,Male,Wairarapa,23,
Asian,70-74,Female,Whanganui,23,
Asian,80-84,Male,Lakes,23,
Asian,90+,Female,Hutt Valley,23,
European or Other,25-29,Unknown/Other,Auckland,23,
Maori,90+,Female,Canterbury,23,
Pacific Peoples,50-54,Female,Overseas / Unknown,23,
Pacific Peoples,70-74,Male,Lakes,23,
Pacific Peoples,75-79,Male,Bay of Plenty,23,
Unknown,0-4,Female,Auckland,23,
Unknown,18-24,Male,Overseas / Unknown,23,
Unknown,25-29,Female,Lakes,23,
Unknown,30-34,Male,Taranaki,23,
Unknown,40-44,Male,Hutt Valley,23,
Unknown,45-49,Female,MidCentral,23,
Unknown,45-49,Male,Nelson Marlborough,23,
Unknown,55-59,Female,MidCentral,23,
Unknown,55-59,Male,Northland,23,
Unknown,60-64,Male,Hawkes Bay,23,
Unknown,65-69,Female,Nelson Marlborough,23,
Asian,60-64,Female,Tairawhiti,24,
Asian,60-64,Male,South Canterbury,24,
Asian,65-69,Male,Whanganui,24,
Asian,75-79,Male,Northland,24,
Asian,75-79,Male,Overseas / Unknown,24,
Asian,85-89,Female,Southern,24,
European or Other,18-24,Unknown/Other,Capital and Coast,24,
Maori,85-89,Female,Hutt Valley,24,
Pacific Peoples,18-24,Male,Wairarapa,24,
Pacific Peoples,40-44,Female,Tairawhiti,24,
Pacific Peoples,45-49,Female,South Canterbury,24,
Pacific Peoples,60-64,Female,Taranaki,24,
Pacific Peoples,60-64,Male,Overseas / Unknown,24,
Pacific Peoples,75-79,Male,Hawkes Bay,24,
Pacific Peoples,80-84,Female,MidCentral,24,
Pacific Peoples,90+,Male,Auckland,24,
Unknown,18-24,Female,Waitemata,24,
Unknown,18-24,Female,Auckland,24,
Unknown,25-29,Female,Southern,24,
Unknown,25-29,Male,Southern,24,
Unknown,35-39,Female,Taranaki,24,
Unknown,35-39,Male,Southern,24,
Unknown,55-59,Female,Southern,24,
Unknown,60-64,Female,Nelson Marlborough,24,
Unknown,70-74,Female,MidCentral,24,
Unknown,70-74,Male,Overseas / Unknown,24,
Asian,18-24,Female,Whanganui,25,
Asian,25-29,Unknown/Other,Auckland,25,
Maori,18-24,Female,Overseas / Unknown,25,
Pacific Peoples,0-4,Female,Overseas / Unknown,25,
Pacific Peoples,30-34,Female,Wairarapa,25,
Pacific Peoples,50-54,Male,Wairarapa,25,
Pacific Peoples,85-89,Female,Hutt Valley,25,
Unknown,12-17,Male,Capital and Coast,25,
Unknown,35-39,Male,Northland,25,
Unknown,5-11,Male,Capital and Coast,25,
Unknown,55-59,Male,Hawkes Bay,25,
Asian,80-84,Male,Hawkes Bay,26,
Maori,90+,Female,Counties Manukau,26,
Pacific Peoples,18-24,Female,Taranaki,26,
Unknown,30-34,Female,MidCentral,26,
Unknown,40-44,Female,Southern,26,
Unknown,40-44,Male,Nelson Marlborough,26,
Unknown,45-49,Female,Southern,26,
Unknown,5-11,Female,Capital and Coast,26,
Unknown,50-54,Female,MidCentral,26,
Unknown,60-64,Female,Southern,26,
Unknown,75-79,Female,Auckland,26,
Unknown,85-89,Female,Counties Manukau,26,
Asian,18-24,Male,South Canterbury,27,
Asian,50-54,Male,Tairawhiti,27,
Asian,55-59,Male,Tairawhiti,27,
Asian,60-64,Female,West Coast,27,
Asian,70-74,Male,Overseas / Unknown,27,
Asian,80-84,Female,Southern,27,
European or Other,25-29,Unknown/Other,Capital and Coast,27,
Maori,80-84,Female,Wairarapa,27,
Maori,85-89,Male,Auckland,27,
Maori,85-89,Male,MidCentral,27,
Pacific Peoples,45-49,Male,South Canterbury,27,
Pacific Peoples,5-11,Female,West Coast,27,
Pacific Peoples,55-59,Female,Wairarapa,27,
Pacific Peoples,65-69,Female,Whanganui,27,
Pacific Peoples,75-79,Female,Hawkes Bay,27,
Pacific Peoples,80-84,Female,Southern,27,
Pacific Peoples,80-84,Male,Hutt Valley,27,
Unknown,12-17,Female,Counties Manukau,27,
Unknown,30-34,Female,Southern,27,
Unknown,50-54,Male,Hutt Valley,27,
Unknown,60-64,Male,Hutt Valley,27,
Unknown,65-69,Female,Overseas / Unknown,27,
Unknown,70-74,Male,Southern,27,
Unknown,80-84,Female,Waitemata,27,
Asian,18-24,Female,Tairawhiti,28,
Asian,50-54,Female,West Coast,28,
Asian,65-69,Female,Wairarapa,28,
Asian,90+,Male,Canterbury,28,
Pacific Peoples,30-34,Female,Overseas / Unknown,28,
Pacific Peoples,60-64,Male,Whanganui,28,
Unknown,0-4,Male,Auckland,28,
Unknown,18-24,Male,Auckland,28,
Unknown,45-49,Male,Taranaki,28,
Unknown,50-54,Male,Hawkes Bay,28,
Unknown,55-59,Male,Nelson Marlborough,28,
Unknown,75-79,Female,Waitemata,28,
Asian,18-24,Male,Overseas / Unknown,29,
Asian,55-59,Female,West Coast,29,
Asian,65-69,Female,Whanganui,29,
Asian,75-79,Female,Lakes,29,
European or Other,18-24,Unknown/Other,Auckland,29,
Pacific Peoples,5-11,Male,West Coast,29,
Pacific Peoples,60-64,Male,Tairawhiti,29,
Pacific Peoples,70-74,Male,Bay of Plenty,29,
Pacific Peoples,75-79,Female,MidCentral,29,
Unknown,12-17,Female,Auckland,29,
Unknown,18-24,Male,Waikato,29,
Unknown,35-39,Female,MidCentral,29,
Unknown,35-39,Male,Lakes,29,
Unknown,40-44,Male,Hawkes Bay,29,
Unknown,55-59,Male,Hutt Valley,29,
Unknown,60-64,Male,Taranaki,29,
Unknown,80-84,Female,Capital and Coast,29,
Asian,45-49,Male,Tairawhiti,30,
Asian,45-49,Male,West Coast,30,
Asian,70-74,Female,Overseas / Unknown,30,
Asian,70-74,Female,Taranaki,30,
Maori,75-79,Female,West Coast,30,
Maori,85-89,Female,Taranaki,30,
Maori,85-89,Male,Waitemata,30,
Maori,90+,Female,Waitemata,30,
Maori,90+,Male,Northland,30,
Pacific Peoples,12-17,Female,West Coast,30,
Pacific Peoples,35-39,Female,Wairarapa,30,
Pacific Peoples,40-44,Male,Wairarapa,30,
Pacific Peoples,65-69,Male,Nelson Marlborough,30,
Pacific Peoples,75-79,Female,Southern,30,
Unknown,0-4,Male,Overseas / Unknown,30,
Unknown,12-17,Female,Waitemata,30,
Unknown,18-24,Female,Overseas / Unknown,30,
Unknown,18-24,Male,Capital and Coast,30,
Unknown,25-29,Male,MidCentral,30,
Unknown,35-39,Female,Lakes,30,
Unknown,35-39,Male,Hutt Valley,30,
Unknown,40-44,Female,Lakes,30,
Unknown,40-44,Female,Overseas / Unknown,30,
Unknown,75-79,Male,Canterbury,30,
Unknown,80-84,Male,Capital and Coast,30,
Asian,18-24,Male,Tairawhiti,31,
Asian,85-89,Female,MidCentral,31,
Maori,75-79,Female,South Canterbury,31,
Pacific Peoples,40-44,Female,Overseas / Unknown,31,
Pacific Peoples,45-49,Female,Wairarapa,31,
Pacific Peoples,50-54,Female,Wairarapa,31,
Pacific Peoples,60-64,Female,Nelson Marlborough,31,
Pacific Peoples,75-79,Male,MidCentral,31,
Unknown,30-34,Female,Lakes,31,
Unknown,30-34,Male,Southern,31,
Unknown,35-39,Female,Overseas / Unknown,31,
Unknown,40-44,Male,Taranaki,31,
Unknown,45-49,Female,Waitemata,31,
Unknown,5-11,Male,Counties Manukau,31,
Unknown,50-54,Male,Southern,31,
Unknown,55-59,Female,Overseas / Unknown,31,
Unknown,70-74,Male,Lakes,31,
Unknown,80-84,Male,Counties Manukau,31,
Asian,70-74,Male,Nelson Marlborough,32,
Pacific Peoples,25-29,Female,Wairarapa,32,
Pacific Peoples,50-54,Female,Tairawhiti,32,
Pacific Peoples,55-59,Male,Wairarapa,32,
Pacific Peoples,75-79,Female,Northland,32,
Unknown,0-4,Male,Counties Manukau,32,
Unknown,40-44,Male,Southern,32,
Unknown,50-54,Female,Waitemata,32,
Unknown,60-64,Male,Southern,32,
Unknown,75-79,Male,Waitemata,32,
Unknown,75-79,Male,MidCentral,32,
Asian,60-64,Male,Whanganui,33,
Maori,65-69,Female,Overseas / Unknown,33,
Maori,70-74,Male,West Coast,33,
Maori,90+,Female,Lakes,33,
Pacific Peoples,12-17,Female,Overseas / Unknown,33,
Pacific Peoples,18-24,Female,Whanganui,33,
Pacific Peoples,18-24,Male,Lakes,33,
Pacific Peoples,50-54,Female,Taranaki,33,
Unknown,12-17,Female,Capital and Coast,33,
Asian,55-59,Female,Tairawhiti,34,
Asian,90+,Female,Waikato,34,
Asian,90+,Male,Capital and Coast,34,
Maori,60-64,Female,Overseas / Unknown,34,
Maori,80-84,Male,Nelson Marlborough,34,
Maori,85-89,Female,Whanganui,34,
Pacific Peoples,25-29,Female,Tairawhiti,34,
Pacific Peoples,35-39,Female,Tairawhiti,34,
Pacific Peoples,45-49,Female,Tairawhiti,34,
Pacific Peoples,45-49,Female,Whanganui,34,
Pacific Peoples,45-49,Male,Wairarapa,34,
Pacific Peoples,80-84,Male,Canterbury,34,
Pacific Peoples,85-89,Male,Capital and Coast,34,
Unknown,18-24,Female,Waikato,34,
Unknown,25-29,Female,Waitemata,34,
Unknown,45-49,Female,Overseas / Unknown,34,
Asian,12-17,Male,West Coast,35,
Asian,90+,Female,Canterbury,35,
Maori,85-89,Male,Southern,35,
Maori,85-89,Male,Tairawhiti,35,
Pacific Peoples,35-39,Female,Overseas / Unknown,35,
Pacific Peoples,60-64,Female,Whanganui,35,
Pacific Peoples,75-79,Female,Bay of Plenty,35,
Unknown,12-17,Male,Waikato,35,
Unknown,45-49,Male,Hawkes Bay,35,
Unknown,50-54,Female,Overseas / Unknown,35,
Unknown,60-64,Female,Counties Manukau,35,
Unknown,65-69,Male,Overseas / Unknown,35,
Unknown,65-69,Male,Southern,35,
Unknown,65-69,Male,Taranaki,35,
Asian,0-4,Female,West Coast,36,
Asian,18-24,Female,Taranaki,36,
Asian,18-24,Male,Wairarapa,36,
Asian,45-49,Female,Wairarapa,36,
Pacific Peoples,18-24,Male,Taranaki,36,
Pacific Peoples,40-44,Female,South Canterbury,36,
Unknown,12-17,Female,Waikato,36,
Unknown,60-64,Female,Overseas / Unknown,36,
Unknown,60-64,Male,Lakes,36,
Asian,75-79,Female,Northland,37,
Asian,80-84,Female,Hawkes Bay,37,
European or Other,90+,Female,Overseas / Unknown,37,
Maori,70-74,Male,South Canterbury,37,
Maori,85-89,Male,Canterbury,37,
Pacific Peoples,12-17,Male,Overseas / Unknown,37,
Pacific Peoples,18-24,Female,Nelson Marlborough,37,
Pacific Peoples,18-24,Female,Overseas / Unknown,37,
Pacific Peoples,55-59,Male,Tairawhiti,37,
Pacific Peoples,55-59,Male,Taranaki,37,
Pacific Peoples,60-64,Male,Nelson Marlborough,37,
Unknown,45-49,Male,Southern,37,
Unknown,55-59,Male,Taranaki,37,
Unknown,65-69,Male,Hawkes Bay,37,
Unknown,65-69,Male,Lakes,37,
Unknown,70-74,Female,Waitemata,37,
Unknown,90+,Female,Waikato,37,
Asian,50-54,Female,Tairawhiti,38,
Asian,80-84,Male,Southern,38,
Maori,80-84,Male,Hutt Valley,38,
Pacific Peoples,40-44,Female,Wairarapa,38,
Pacific Peoples,55-59,Female,Whanganui,38,
Pacific Peoples,65-69,Female,Lakes,38,
Pacific Peoples,70-74,Male,Northland,38,
Pacific Peoples,75-79,Male,Southern,38,
Unknown,40-44,Male,Lakes,38,
Unknown,65-69,Female,Counties Manukau,38,
Asian,18-24,Male,Taranaki,39,
Asian,55-59,Male,South Canterbury,39,
Maori,18-24,Male,Overseas / Unknown,39,
Maori,85-89,Female,Capital and Coast,39,
Maori,85-89,Male,Counties Manukau,39,
Pacific Peoples,18-24,Female,Lakes,39,
Pacific Peoples,30-34,Female,Tairawhiti,39,
Pacific Peoples,5-11,Female,Overseas / Unknown,39,
Pacific Peoples,50-54,Male,Taranaki,39,
Pacific Peoples,55-59,Female,Tairawhiti,39,
Unknown,0-4,Female,Canterbury,39,
Unknown,18-24,Female,Canterbury,39,
Unknown,25-29,Male,Waitemata,39,
Unknown,40-44,Female,MidCentral,39,
Unknown,55-59,Female,Nelson Marlborough,39,
Unknown,60-64,Female,Auckland,39,
Asian,45-49,Male,Wairarapa,40,
Asian,65-69,Male,Nelson Marlborough,40,
Asian,70-74,Female,Nelson Marlborough,40,
Maori,85-89,Female,Southern,40,
Pacific Peoples,30-34,Male,Wairarapa,40,
Pacific Peoples,35-39,Female,South Canterbury,40,
Pacific Peoples,55-59,Female,Taranaki,40,
Unknown,25-29,Female,Overseas / Unknown,40,
Unknown,30-34,Male,Lakes,40,
Unknown,40-44,Female,Waitemata,40,
Unknown,45-49,Female,Counties Manukau,40,
Unknown,50-54,Female,Auckland,40,
Unknown,50-54,Female,Counties Manukau,40,
Unknown,55-59,Female,Auckland,40,
Asian,40-44,Male,Tairawhiti,41,
Asian,40-44,Male,West Coast,41,
Asian,60-64,Female,Wairarapa,41,
Maori,55-59,Female,Overseas / Unknown,41,
Pacific Peoples,0-4,Male,Overseas / Unknown,41,
Pacific Peoples,0-4,Male,Wairarapa,41,
Pacific Peoples,18-24,Female,Wairarapa,41,
Pacific Peoples,25-29,Female,Overseas / Unknown,41,
Unknown,0-4,Female,Overseas / Unknown,41,
Unknown,18-24,Male,Canterbury,41,
Unknown,30-34,Female,Waitemata,41,
Unknown,55-59,Female,Counties Manukau,41,
Unknown,75-79,Female,Counties Manukau,41,
Unknown,85-89,Male,Waikato,41,
Asian,18-24,Male,Northland,42,
Asian,75-79,Male,Southern,42,
Asian,80-84,Male,Bay of Plenty,42,
Maori,65-69,Male,Overseas / Unknown,42,
Maori,70-74,Female,West Coast,42,
Pacific Peoples,25-29,Female,South Canterbury,42,
Pacific Peoples,35-39,Male,Wairarapa,42,
Pacific Peoples,70-74,Female,Northland,42,
Pacific Peoples,90+,Male,Counties Manukau,42,
Unknown,45-49,Female,Auckland,42,
Unknown,70-74,Male,Waitemata,42,
Unknown,75-79,Female,Canterbury,42,
Asian,55-59,Male,Overseas / Unknown,43,
Pacific Peoples,18-24,Male,Nelson Marlborough,43,
Pacific Peoples,55-59,Male,Nelson Marlborough,43,
Pacific Peoples,55-59,Male,Overseas / Unknown,43,
Unknown,30-34,Female,Overseas / Unknown,43,
Unknown,35-39,Female,Counties Manukau,43,
Unknown,50-54,Female,Nelson Marlborough,43,
Unknown,55-59,Male,Lakes,43,
Unknown,65-69,Female,Auckland,43,
Asian,0-4,Female,Overseas / Unknown,44,
Asian,12-17,Female,West Coast,44,
Asian,18-24,Female,Northland,44,
Asian,50-54,Female,Wairarapa,44,
Asian,75-79,Male,Hawkes Bay,44,
Pacific Peoples,18-24,Female,Tairawhiti,44,
Pacific Peoples,80-84,Female,Waikato,44,
Pacific Peoples,80-84,Male,Waikato,44,
Unknown,18-24,Female,Capital and Coast,44,
Unknown,50-54,Male,Taranaki,44,
Unknown,70-74,Female,Auckland,44,
Asian,80-84,Female,Bay of Plenty,45,
Maori,45-49,Female,Overseas / Unknown,45,
Maori,85-89,Female,MidCentral,45,
Pacific Peoples,18-24,Male,Tairawhiti,45,
Pacific Peoples,35-39,Female,Whanganui,45,
Pacific Peoples,5-11,Female,Tairawhiti,45,
Unknown,18-24,Female,Counties Manukau,45,
Unknown,35-39,Male,Taranaki,45,
Unknown,75-79,Female,Capital and Coast,45,
Asian,12-17,Female,Tairawhiti,46,
Asian,45-49,Female,West Coast,46,
Asian,55-59,Female,Wairarapa,46,
Asian,55-59,Male,Whanganui,46,
Asian,85-89,Male,Hutt Valley,46,
Pacific Peoples,0-4,Female,Wairarapa,46,
Pacific Peoples,18-24,Female,South Canterbury,46,
Pacific Peoples,50-54,Male,Whanganui,46,
Pacific Peoples,65-69,Male,Lakes,46,
Pacific Peoples,70-74,Female,Southern,46,
Unknown,25-29,Male,Auckland,46,
Unknown,45-49,Male,Lakes,46,
Unknown,65-69,Male,Waitemata,46,
Asian,18-24,Female,Lakes,47,
Asian,5-11,Female,Overseas / Unknown,47,
Asian,55-59,Female,South Canterbury,47,
Asian,70-74,Male,Northland,47,
Maori,85-89,Female,Canterbury,47,
Maori,85-89,Male,Lakes,47,
Pacific Peoples,55-59,Male,Whanganui,47,
Pacific Peoples,80-84,Female,Canterbury,47,
Unknown,70-74,Male,Auckland,47,
Asian,45-49,Female,Tairawhiti,48,
Asian,5-11,Male,Overseas / Unknown,48,
Pacific Peoples,45-49,Female,Taranaki,48,
Pacific Peoples,50-54,Female,Whanganui,48,
Unknown,30-34,Female,Auckland,48,
Unknown,35-39,Female,Waitemata,48,
Unknown,65-69,Female,Waitemata,48,
Asian,60-64,Female,South Canterbury,49,
Asian,60-64,Female,Whanganui,49,
Maori,70-74,Female,South Canterbury,49,
Maori,85-89,Male,Hawkes Bay,49,
Pacific Peoples,0-4,Male,Tairawhiti,49,
Pacific Peoples,12-17,Female,South Canterbury,49,
Pacific Peoples,18-24,Male,Northland,49,
Pacific Peoples,18-24,Female,Taranaki,49,
Pacific Peoples,30-34,Female,South Canterbury,49,
Pacific Peoples,35-39,Male,Tairawhiti,49,
Unknown,18-24,Male,Counties Manukau,49,
Unknown,50-54,Male,Lakes,49,
Unknown,65-69,Male,MidCentral,49,
Asian,0-4,Male,Overseas / Unknown,50,
Asian,40-44,Female,Overseas / Unknown,50,
Asian,45-49,Male,Whanganui,50,
European or Other,85-89,Male,Overseas / Unknown,50,
Maori,65-69,Male,West Coast,50,
Maori,90+,Female,Bay of Plenty,50,
Pacific Peoples,12-17,Male,Tairawhiti,50,
Pacific Peoples,25-29,Male,Wairarapa,50,
Pacific Peoples,45-49,Male,Tairawhiti,50,
Unknown,25-29,Female,Auckland,50,
Unknown,30-34,Female,Counties Manukau,50,
Unknown,35-39,Female,Auckland,50,
Unknown,40-44,Female,Auckland,50,
Unknown,70-74,Male,MidCentral,50,
Asian,12-17,Male,Tairawhiti,51,
Asian,18-24,Female,Nelson Marlborough,51,
Asian,65-69,Female,Overseas / Unknown,51,
Asian,75-79,Female,Hawkes Bay,51,
Asian,80-84,Male,MidCentral,51,
Asian,90+,Female,Capital and Coast,51,
European or Other,85-89,Female,Overseas / Unknown,51,
Maori,50-54,Female,Overseas / Unknown,51,
Maori,75-79,Male,Wairarapa,51,
Pacific Peoples,0-4,Female,Tairawhiti,51,
Pacific Peoples,18-24,Male,Wairarapa,51,
Pacific Peoples,65-69,Female,Bay of Plenty,51,
Unknown,0-4,Male,Canterbury,51,
Unknown,25-29,Male,Overseas / Unknown,51,
Unknown,60-64,Female,Waitemata,51,
Unknown,70-74,Female,Counties Manukau,51,
Asian,12-17,Male,Overseas / Unknown,52,
Asian,50-54,Male,Whanganui,52,
Asian,65-69,Male,Taranaki,52,
Maori,18-24,Female,West Coast,52,
Maori,80-84,Female,Nelson Marlborough,52,
Pacific Peoples,40-44,Male,Taranaki,52,
Pacific Peoples,5-11,Male,Overseas / Unknown,52,
Pacific Peoples,50-54,Male,Tairawhiti,52,
Pacific Peoples,70-74,Female,Bay of Plenty,52,
Pacific Peoples,90+,Female,Waitemata,52,
Unknown,70-74,Female,Canterbury,52,
Asian,40-44,Female,West Coast,53,
Maori,75-79,Female,Wairarapa,53,
Maori,85-89,Female,Auckland,53,
Pacific Peoples,18-24,Female,Northland,53,
Pacific Peoples,40-44,Male,South Canterbury,53,
Pacific Peoples,45-49,Female,Nelson Marlborough,53,
Pacific Peoples,45-49,Male,Taranaki,53,
Pacific Peoples,55-59,Female,Nelson Marlborough,53,
Pacific Peoples,80-84,Female,Hutt Valley,53,
Asian,50-54,Male,South Canterbury,54,
Maori,80-84,Male,Whanganui,54,
Pacific Peoples,70-74,Female,Hawkes Bay,54,
Pacific Peoples,70-74,Male,Southern,54,
Asian,18-24,Female,Whanganui,55,
Unknown,25-29,Male,Counties Manukau,55,
Unknown,55-59,Female,Waitemata,55,
Unknown,55-59,Male,Southern,55,
Asian,0-4,Male,West Coast,56,
Asian,18-24,Female,South Canterbury,56,
Asian,50-54,Male,Overseas / Unknown,56,
Asian,70-74,Male,Lakes,56,
Asian,85-89,Female,Hutt Valley,56,
Maori,18-24,Male,West Coast,56,
Pacific Peoples,12-17,Female,Tairawhiti,56,
Pacific Peoples,25-29,Male,South Canterbury,56,
Pacific Peoples,70-74,Male,MidCentral,56,
Asian,12-17,Female,Wairarapa,57,
Asian,25-29,Male,West Coast,57,
Asian,5-11,Female,West Coast,57,
Asian,80-84,Female,MidCentral,57,
Maori,90+,Female,Northland,57,
Pacific Peoples,25-29,Female,Taranaki,57,
Pacific Peoples,35-39,Female,Taranaki,57,
Pacific Peoples,40-44,Female,Whanganui,57,
Unknown,25-29,Female,Counties Manukau,57,
Unknown,85-89,Female,Waikato,57,
Asian,35-39,Female,Tairawhiti,58,
Asian,45-49,Female,Overseas / Unknown,58,
Maori,18-24,Female,Overseas / Unknown,58,
Maori,35-39,Female,Overseas / Unknown,58,
Pacific Peoples,70-74,Male,Hawkes Bay,58,
Unknown,30-34,Male,Auckland,58,
Maori,40-44,Female,Overseas / Unknown,59,
Maori,65-69,Male,South Canterbury,59,
Maori,80-84,Female,Hutt Valley,59,
Maori,80-84,Male,Taranaki,59,
Maori,85-89,Female,Tairawhiti,59,
Pacific Peoples,40-44,Male,Whanganui,59,
Pacific Peoples,85-89,Male,Waitemata,59,
Asian,5-11,Male,West Coast,60,
Asian,65-69,Male,Northland,60,
Asian,90+,Male,Waitemata,60,
Pacific Peoples,12-17,Female,Wairarapa,60,
Pacific Peoples,40-44,Male,Tairawhiti,60,
Pacific Peoples,45-49,Male,Overseas / Unknown,60,
Pacific Peoples,45-49,Male,Whanganui,60,
Unknown,75-79,Male,Counties Manukau,60,
Asian,0-4,Male,Tairawhiti,61,
Asian,18-24,Male,Lakes,61,
Asian,40-44,Male,Wairarapa,61,
Maori,90+,Female,Waikato,61,
Pacific Peoples,40-44,Female,Taranaki,61,
Pacific Peoples,65-69,Male,Bay of Plenty,61,
Pacific Peoples,70-74,Female,MidCentral,61,
Unknown,30-34,Male,MidCentral,61,
Asian,12-17,Male,Wairarapa,62,
Asian,18-24,Male,Hawkes Bay,62,
Asian,18-24,Male,Whanganui,62,
Asian,35-39,Female,West Coast,62,
Asian,35-39,Male,Tairawhiti,62,
Asian,75-79,Female,Southern,62,
Maori,65-69,Female,West Coast,62,
Pacific Peoples,12-17,Male,Wairarapa,62,
Pacific Peoples,60-64,Male,Northland,62,
Pacific Peoples,65-69,Female,Northland,62,
Pacific Peoples,85-89,Female,Capital and Coast,62,
Unknown,25-29,Female,Canterbury,62,
Unknown,25-29,Female,Capital and Coast,62,
Unknown,60-64,Male,Overseas / Unknown,62,
Unknown,65-69,Female,Canterbury,62,
Asian,18-24,Female,Hawkes Bay,63,
Asian,50-54,Female,Whanganui,63,
Asian,75-79,Male,Bay of Plenty,63,
Asian,85-89,Female,Waikato,63,
Pacific Peoples,18-24,Male,Bay of Plenty,63,
Pacific Peoples,18-24,Male,South Canterbury,63,
Pacific Peoples,50-54,Male,Overseas / Unknown,63,
Unknown,65-69,Female,Capital and Coast,63,
Asian,60-64,Male,Overseas / Unknown,64,
Asian,60-64,Male,Taranaki,64,
Asian,70-74,Female,Lakes,64,
Asian,85-89,Male,Canterbury,64,
Pacific Peoples,35-39,Male,Taranaki,64,
Pacific Peoples,50-54,Female,Nelson Marlborough,64,
Pacific Peoples,75-79,Male,Canterbury,64,
Asian,18-24,Male,South Canterbury,65,
Asian,40-44,Female,Wairarapa,65,
Asian,5-11,Female,Tairawhiti,65,
Asian,85-89,Male,Waikato,65,
Maori,30-34,Female,Overseas / Unknown,65,
Maori,80-84,Male,Tairawhiti,65,
Maori,85-89,Female,Waitemata,65,
Asian,35-39,Male,West Coast,66,
Asian,65-69,Male,Overseas / Unknown,66,
Maori,0-4,Male,Overseas / Unknown,66,
Maori,85-89,Female,Lakes,66,
Pacific Peoples,25-29,Male,Tairawhiti,66,
Pacific Peoples,30-34,Male,South Canterbury,66,
Pacific Peoples,60-64,Female,Lakes,66,
Pacific Peoples,60-64,Male,Lakes,66,
Pacific Peoples,65-69,Male,MidCentral,66,
Unknown,55-59,Female,Capital and Coast,66,
Asian,40-44,Female,Tairawhiti,67,
Asian,55-59,Female,Overseas / Unknown,67,
Maori,70-74,Male,Wairarapa,67,
Pacific Peoples,12-17,Male,South Canterbury,67,
Pacific Peoples,35-39,Male,South Canterbury,67,
Pacific Peoples,60-64,Female,Bay of Plenty,67,
Unknown,30-34,Male,Waitemata,67,
Unknown,50-54,Female,Capital and Coast,67,
Unknown,70-74,Male,Canterbury,67,
Asian,60-64,Female,Overseas / Unknown,68,
Pacific Peoples,50-54,Male,Nelson Marlborough,68,
Pacific Peoples,65-69,Female,Southern,68,
Unknown,35-39,Female,Canterbury,68,
Asian,25-29,Male,Wairarapa,69,
Asian,60-64,Male,Nelson Marlborough,69,
Asian,70-74,Male,Hawkes Bay,69,
Maori,65-69,Female,South Canterbury,69,
Pacific Peoples,18-24,Female,Whanganui,69,
Pacific Peoples,25-29,Male,Taranaki,69,
Asian,12-17,Female,Overseas / Unknown,70,
Asian,25-29,Female,Wairarapa,70,
Pacific Peoples,5-11,Female,Wairarapa,70,
Pacific Peoples,55-59,Male,Lakes,70,
Unknown,40-44,Female,Counties Manukau,70,
Asian,50-54,Female,Overseas / Unknown,71,
Asian,75-79,Male,MidCentral,71,
Pacific Peoples,30-34,Male,Tairawhiti,71,
Pacific Peoples,30-34,Male,Taranaki,71,
